Date,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
,12:30,USD,1,Import Price Index ex Petroleum (MoM),-0.40%,,0.30%
,12:30,USD,3,Initial Jobless Claims,192K,205K,212K
,12:30,USD,1,Jobless Claims 4-Week Avg.,196.50K,,197.25K
,12:30,USD,3,Philadelphia Fed Manufacturing Index (Mar),-23.2,-15.6,-24.3
,12:30,USD,1,Philly Fed Business Conditions (Mar),-8,,1.7
,12:30,USD,1,Philly Fed CAPEX Index (Mar),-3.8,,7.5
,12:30,USD,2,Philly Fed Employment (Mar),-10.3,,5.1
,12:30,USD,1,Philly Fed New Orders (Mar),-28.2,,-13.6
,12:30,USD,1,Philly Fed Prices Paid (Mar),23.5,,26.5
,14:30,USD,1,Natural Gas Storage,-58B,-62B,-84B
,20:30,USD,1,Reserve Balances with Federal Reserve Banks,3.444T,,3.004T
"Friday, March 17, 2023",13:15,USD,1,Capacity Utilization Rate (Feb),78.00%,78.50%,78.00%
,13:15,USD,2,Industrial Production (MoM) (Feb),0.00%,0.20%,0.30%
,13:15,USD,2,Industrial Production (YoY) (Feb),-0.25%,3.00%,0.49%
,13:15,USD,1,Manufacturing Production (MoM) (Feb),0.10%,-0.20%,1.30%
,14:00,USD,1,4-Week Bill Auction,4.22%,,4.64%
,14:00,USD,1,8-Week Bill Auction,4.45%,,4.82%
,14:00,USD,2,Michigan 1-Year Inflation Expectations (Mar),3.80%,,4.10%
,14:00,USD,2,Michigan 5-Year Inflation Expectations (Mar),2.80%,,2.90%
,14:00,USD,2,Michigan Consumer Expectations (Mar),61.5,64.5,64.7
,14:00,USD,2,Michigan Consumer Sentiment (Mar),63.4,66.9,67
,14:00,USD,1,Michigan Current Conditions (Mar),66.4,70,70.7
,14:00,USD,2,US Leading Index (MoM) (Feb),-0.30%,-0.30%,-0.30%
,17:00,USD,2,U.S. Baker Hughes Oil Rig Count,589,,590
,17:00,USD,2,U.S. Baker Hughes Total Rig Count,754,,746
,20:30,USD,1,CFTC Aluminium speculative net positions,5.1K,,5.9K
,20:30,USD,1,CFTC Copper speculative net positions,-7.7K,,2.0K
,20:30,USD,1,CFTC Corn speculative net positions,103.3K,,283.0K
,20:30,USD,2,CFTC Crude Oil speculative net positions,206.9K,,219.7K
,20:30,USD,2,CFTC Gold speculative net positions,98.5K,,107.1K
,20:30,USD,2,CFTC Nasdaq 100 speculative net positions,-12.4K,,-14.1K
,20:30,USD,1,CFTC Natural Gas speculative net positions,-156.4K,,-179.3K
,20:30,USD,2,CFTC S&P 500 speculative net positions,-209.5K,,-234.3K
,20:30,USD,1,CFTC Silver speculative net positions,-7.8K,,9.9K
,20:30,USD,1,CFTC Soybeans speculative net positions,180.2K,,193.3K
,20:30,USD,1,CFTC Wheat speculative net positions,-73.3K,,-47.5K
"Monday, March 20, 2023",15:30,USD,1,3-Month Bill Auction,4.68%,,4.75%
,15:30,USD,1,6-Month Bill Auction,4.62%,,4.70%
"Tuesday, March 21, 2023",12:55,USD,1,Redbook (YoY),3.20%,,2.60%
,14:00,USD,2,Existing Home Sales (MoM) (Feb),14.50%,5.00%,-0.70%
,14:00,USD,3,Existing Home Sales,4.58M,4.19M,4.00M
,14:00,USD,2,Treasury Secretary Yellen Speaks,,,
,15:30,USD,1,52-Week Bill Auction,4.39%,,4.80%
,17:00,USD,2,20-Year Bond Auction,3.91%,,3.98%
,20:30,USD,2,API Weekly Crude Oil Stock,3.262M,-1.448M,1.155M
"Wednesday, March 22, 2023",11:00,USD,1,MBA 30-Year Mortgage Rate,6.48%,,6.71%
,11:00,USD,1,MBA Mortgage Applications (WoW),3.00%,,6.50%
,11:00,USD,1,MBA Purchase Index,169.3,,165.6
,11:00,USD,1,Mortgage Market Index,221,,214.5
,11:00,USD,1,Mortgage Refinance Index,481.3,,458.9
,14:30,USD,3,Crude Oil Inventories,1.117M,-1.565M,1.550M
,14:30,USD,1,EIA Refinery Crude Runs (WoW),-0.022M,,0.431M
,14:30,USD,1,Crude Oil Imports,0.051M,,-1.720M
,14:30,USD,2,Cushing Crude Oil Inventories,-1.063M,-1.558M,-1.916M
,14:30,USD,1,Distillate Fuel Production,0.075M,,-0.097M
,14:30,USD,1,EIA Weekly Distillates Stocks,-3.313M,-1.500M,-2.537M
,14:30,USD,1,Gasoline Production,0.392M,,-0.446M
,14:30,USD,1,Heating Oil Stockpiles,0.578M,,-0.735M
,14:30,USD,1,EIA Weekly Refinery Utilization Rates (WoW),0.40%,1.00%,2.20%
,14:30,USD,1,Gasoline Inventories,-6.400M,-1.677M,-2.061M
,18:00,USD,2,Interest Rate Projection - 1st Yr (Q1),4.30%,,5.10%
,18:00,USD,2,Interest Rate Projection - 2nd Yr (Q1),3.10%,,4.10%
,18:00,USD,2,Interest Rate Projection - Current (Q1),5.10%,,4.40%
,18:00,USD,2,Interest Rate Projection - Longer (Q1),2.50%,,2.50%
,18:00,USD,3,FOMC Economic Projections,,,
,18:00,USD,3,Fed Interest Rate Decision,5.00%,5.00%,4.75%
,18:30,USD,3,FOMC Press Conference,,,
,20:30,USD,2,Fed's Balance Sheet,"8,734B",,"8,639B"
"Thursday, March 23, 2023",12:30,USD,1,Building Permits (MoM) (Feb),15.10%,13.80%,0.10%
,12:30,USD,2,Building Permits (Feb),1.550M,1.524M,1.339M
,12:30,USD,1,Chicago Fed National Activity (Feb),-0.19,,0.23
,12:30,USD,2,Continuing Jobless Claims,"1,694K","1,684K","1,680K"
,12:30,USD,2,Current Account (Q4),-206.8B,-213.2B,-219.0B
,12:30,USD,3,Initial Jobless Claims,191K,197K,192K
,12:30,USD,1,Jobless Claims 4-Week Avg.,196.25K,,196.50K
,14:00,USD,2,New Home Sales (MoM) (Feb),1.10%,,1.80%
,14:00,USD,3,New Home Sales (Feb),640K,650K,633K
,14:30,USD,1,Natural Gas Storage,-72B,-75B,-58B
,15:00,USD,1,KC Fed Composite Index (Mar),0,,0
