event_name,avg_hour_of_day,avg_day_of_week,avg_day_of_month,April,August,December,February,January,July,June,March,May,November,October,September
Reserve_Balances_with_Federal_Reserve_Banks,20.333333333333332,Thursday,16.07843137254902,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0
Retail_Control_MoM,12.333333333333334,Wednesday,15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Retail_Inventories_Ex_Auto,13.333333333333334,Wednesday,21.541666666666668,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Retail_Sales_Ex_GasAutos_MoM,12.333333333333334,Wednesday,15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Retail_Sales_MoM,12.333333333333334,Wednesday,15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Retail_Sales_YoY,12.333333333333334,Wednesday,15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Richmond_Manufacturing_Index,14.333333333333334,Tuesday,25.583333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Richmond_Manufacturing_Shipments,14.333333333333334,Tuesday,25.583333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Richmond_Services_Index,14.333333333333334,Tuesday,25.583333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SPCS_HPI_Composite_-_20_nsa_MoM,13.333333333333334,Tuesday,27.833333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SPCS_HPI_Composite_-_20_nsa_YoY,13.333333333333334,Tuesday,27.833333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SPCS_HPI_Composite_-_20_sa_MoM,13.333333333333334,Tuesday,27.833333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SP_Global_Composite_PMI,13.333333333333334,Wednesday,13.291666666666666,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SP_Global_Services_PMI,13.333333333333334,Wednesday,13.291666666666666,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SP_Global_US_Manufacturing_PMI,13.333333333333334,Wednesday,11.958333333333334,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Texas_Services_Sector_Outlook,14.333333333333334,Tuesday,26.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
