Event,Time_Delta,Coefficients,Intercept,R_squared,Explained_Variance_Ratio
Consumer Credit,5,[0.0276746  0.07339113],0.02070969943479788,-4.5192106820740006e+19,[0.90674413 0.09325587]
Consumer Credit,15,[0.07049203 0.00681616],0.0022715244210887156,-1.7851326439084976e+19,[0.90674413 0.09325587]
Consumer Credit,30,[0.09554033 0.03981453],0.13068856668813594,-1.5329151982901936e+19,[0.90674413 0.09325587]
Consumer Credit,60,[0.24614963 0.04279242],0.14558322513875804,-4.351572655113537e+19,[0.90674413 0.09325587]
Continuing Jobless Claims,5,[0.00051623 0.03351455],0.03436783364168793,-3496069389.973093,[0.52703706 0.47296294]
Continuing Jobless Claims,15,[-0.00441658  0.05487045],0.009403060343567164,-3102690186.3643007,[0.52703706 0.47296294]
Continuing Jobless Claims,30,[0.01123127 0.0418059 ],0.0722498312404927,-1100202802.2006612,[0.52703706 0.47296294]
Continuing Jobless Claims,60,[0.02836321 0.11907915],0.12657562814900863,-3451659085.8804727,[0.52703706 0.47296294]
Core CPI (MoM),5,[0.02848063 0.03998602],-0.0026839868666128108,-0.003060455108774507,[0.87390617 0.12609383]
Core CPI (MoM),15,[-0.17202866  0.18858866],-0.004496124692245237,-0.0067225881870005555,[0.87390617 0.12609383]
Core CPI (MoM),30,[-0.42366927  0.3072437 ],0.2553729642316617,-0.01241128279335646,[0.87390617 0.12609383]
Core CPI (MoM),60,[-0.23862881  0.2473712 ],0.04202149225334613,-0.0034414283877803875,[0.87390617 0.12609383]
Core CPI (YoY),5,[-0.03555252 -0.14890591],-0.0026839868666128077,-0.022139095727809366,[0.7649833 0.2350167]
Core CPI (YoY),15,[-0.02014926 -0.13001671],-0.004496124692245237,-0.004366624597088364,[0.7649833 0.2350167]
Core CPI (YoY),30,[-0.0289144  -0.19522016],0.2553729642316617,-0.002137306245326709,[0.7649833 0.2350167]
Core CPI (YoY),60,[0.05707543 0.03338546],0.04202149225334613,-0.000998789272032674,[0.7649833 0.2350167]
Core CPI Index,5,[-0.05016445 -0.05594437],-0.002683986866612809,-1116.7095367273398,[0.57348735 0.42651265]
Core CPI Index,15,[-0.33659622 -0.12112513],-0.004496124692245225,-1694.8402635144091,[0.57348735 0.42651265]
Core CPI Index,30,[-0.64491464 -0.10673744],0.2553729642316618,-302.2922780502319,[0.57348735 0.42651265]
Core CPI Index,60,[-0.4301646 -0.1251746],0.04202149225334614,-460.1596899610011,[0.57348735 0.42651265]
Core Durable Goods Orders (MoM),5,[-0.01510261 -0.07313905],0.12217053502266033,-0.012712956171386125,[0.7499952 0.2500048]
Core Durable Goods Orders (MoM),15,[-0.01894847  0.03848963],0.14483408992253188,0.006245475278645496,[0.7499952 0.2500048]
Core Durable Goods Orders (MoM),30,[-0.01605231  0.01574334],0.21096812126708786,0.0007280623417398324,[0.7499952 0.2500048]
Core Durable Goods Orders (MoM),60,[-0.05785575  0.08438542],0.0624523672391268,0.010809066097852704,[0.7499952 0.2500048]
Core PCE Price Index (MoM),5,[-0.00226646  0.0976126 ],0.02793234260876873,-0.03628133370360298,[0.75098232 0.24901768]
Core PCE Price Index (MoM),15,[-0.01392368  0.16016338],0.03924728798092975,-0.06894000050060689,[0.75098232 0.24901768]
Core PCE Price Index (MoM),30,[0.05308472 0.22417936],-0.020752492006548568,0.007978221315510847,[0.75098232 0.24901768]
Core PCE Price Index (MoM),60,[0.03124295 0.26342661],0.02910416152398715,-0.006678970704926179,[0.75098232 0.24901768]
Core PCE Price Index (YoY),5,[-0.02395828 -0.05203046],0.02793234260876874,0.03530727149147239,[0.78933445 0.21066555]
Core PCE Price Index (YoY),15,[-0.02556071 -0.06819584],0.039247287980929774,0.028631057066881294,[0.78933445 0.21066555]
Core PCE Price Index (YoY),30,[-0.02260834 -0.09835713],-0.02075249200654854,0.010098180869162365,[0.78933445 0.21066555]
Core PCE Price Index (YoY),60,[-0.06753778 -0.2475959 ],0.029104161523987183,0.034018857819510195,[0.78933445 0.21066555]
Core PCE Prices,5,[-0.0199891   0.06337345],0.06121939622794392,0.024295504772354537,[0.82556785 0.17443215]
Core PCE Prices,15,[-0.08617809  0.04959013],-0.05928875061455665,0.21492883604887802,[0.82556785 0.17443215]
Core PCE Prices,30,[-0.11637166 -0.04880287],0.036889198993773964,0.11016619119005777,[0.82556785 0.17443215]
