Event,Time_Delta,Coefficients,Intercept,R_squared
Core PCE Prices,60,[-0.14615575  0.00061184],-0.03192520596430812,0.13560902870310276
Core PPI (MoM),5,[-0.01074956  0.08215248],-0.04166220666444315,0.09687969474364977
Core PPI (MoM),15,[0.10051997 0.43766293],-0.14330460074067491,0.34312371377827955
Core PPI (MoM),30,[0.00995146 0.30730003],0.06188800579968453,0.3282592899566955
Core PPI (MoM),60,[-0.11935339  0.316977  ],0.024119480417304492,0.44435554634538554
Core PPI (YoY),5,[-0.04151746 -0.0075588 ],-0.04166220666444315,0.07564261509338477
Core PPI (YoY),15,[-0.23832989  0.18813427],-0.1433046007406749,0.3513972818693428
Core PPI (YoY),30,[-0.09428446  0.00190348],0.061888005799684544,0.09854521416962003
Core PPI (YoY),60,[ 0.0415389  -0.05266249],0.024119480417304495,0.02799155015868171
Core Retail Sales (MoM),5,[ 0.00905297 -0.07937016],0.013557923209082735,0.10342554322648834
Core Retail Sales (MoM),15,[ 0.20430957 -0.67838729],-0.052070416366224635,0.6473629250192379
Core Retail Sales (MoM),30,[ 0.04409445 -0.31685941],0.047102377865969325,0.21681372237502838
Core Retail Sales (MoM),60,[ 0.0012243  -0.17446824],0.22383132460377447,0.03816331053379429
Corporate Profits,5,[ 0.00135881 -0.06968921],0.0007653996374661437,0.1502661066879346
Corporate Profits,15,[-0.05317748  0.03983064],-0.07068652038949254,0.4230698230306468
Corporate Profits,30,[-0.08697339  0.05586713],-0.008787553511600123,0.3738045961384614
Corporate Profits,60,[ 0.00535841 -0.09940075],-0.051927772792975446,0.07688815264889681
Durable Goods Orders (MoM),5,[-0.03752726 -0.05753253],0.12217053502266031,0.09794942014436137
Durable Goods Orders (MoM),15,[-0.06112369 -0.0726057 ],0.14483408992253188,0.11969666486469888
Durable Goods Orders (MoM),30,[-0.08146866 -0.0449296 ],0.21096812126708786,0.10779786968069449
Durable Goods Orders (MoM),60,[-0.06240509 -0.0202521 ],0.06245236723912681,0.03062424952889309
Durables Excluding Defense (MoM),5,[-0.01272079 -0.13273004],0.03295478551664924,0.06479758809961389
Durables Excluding Defense (MoM),15,[ 0.00998599 -0.13665677],0.08799343533214307,0.09389935763321944
Durables Excluding Defense (MoM),30,[-0.02175001 -0.31130343],0.12614106959965166,0.10161665534710174
Durables Excluding Defense (MoM),60,[-0.02771355 -0.2778041 ],0.09317089826084272,0.07776214585206709
Durables Excluding Transport (MoM),5,[0.02578632 0.06386446],-0.05626096398936185,0.013806047081861506
Durables Excluding Transport (MoM),15,[ 0.01403965 -0.05143555],0.031152780741754232,0.013170922540469698
Durables Excluding Transport (MoM),30,[0.00178177 0.26111877],0.04131401793221541,0.03787620215725385
Durables Excluding Transport (MoM),60,[0.1174407  0.20027599],0.12388942928255865,0.055157239740573405
Employment Cost Index,5,[-0.00814768  0.01252123],0.1282744424605428,0.009939960004423654
Employment Cost Index,15,[-0.06170152  0.01379292],0.08773546584649451,0.2967072790174696
Employment Cost Index,30,[-0.15654069  0.04690959],0.13557320686937605,0.4691746160250341
Employment Cost Index,60,[-0.10161097  0.01050292],0.1321861759888633,0.3714794339849238
Employment Wages,5,[0.00848513 0.08482675],0.1282744424605428,0.37742083450649566
Employment Wages,15,[-0.03183356  0.14763634],0.0877354658464945,0.8337772659791234
Employment Wages,30,[-0.10612047  0.29899337],0.13557320686937605,0.9268508528858679
Employment Wages,60,[-0.07110009  0.1836124 ],0.1321861759888633,0.6841074258151536
Existing Home Sales,5,[-0.02234134 -0.19342596],0.03752169152124977,0.21337467477042726
Existing Home Sales,15,[-0.01094098 -0.58284336],0.1330186248313137,0.3215525458285874
Existing Home Sales,30,[-0.03124797 -0.69404699],0.11425912497445372,0.30378819780793564
Existing Home Sales,60,[-0.07274146 -0.51863988],0.0745805717557856,0.09505620356142819
Existing Home Sales (MoM),5,[-0.05201055  0.0527676 ],0.037521691521249755,0.1329463735267652
Existing Home Sales (MoM),15,[-0.06175752  0.60234518],0.13301862483131363,0.4362839725196732
Existing Home Sales (MoM),30,[-0.03208493  0.7980638 ],0.11425912497445369,0.4736342818921013
Existing Home Sales (MoM),60,[0.00797209 0.79100367],0.0745805717557856,0.22459230760305682
Export Price Index (MoM),5,[-0.03472039 -0.08683401],0.08813802201854068,0.24460763061825586
Export Price Index (MoM),15,[-0.06025628 -0.16415799],0.04424130451358011,0.11436585046066594
Export Price Index (MoM),30,[-0.09065157 -0.20108837],0.07091989421815562,0.17011854955540673
Export Price Index (MoM),60,[-0.02338138  0.0039462 ],0.08550250655470795,0.002805622130202412
Export Price Index (YoY),5,[-0.01060603 -0.00612817],0.08813802201854068,0.009730472849472704
Export Price Index (YoY),15,[-0.00406144 -0.07983685],0.04424130451358012,0.016271272051640695
Export Price Index (YoY),30,[ 0.01145239 -0.12844894],0.07091989421815562,0.036309310395673866
Export Price Index (YoY),60,[-0.03401776 -0.15227971],0.08550250655470795,0.03321925989653862
Exports,5,[-0.06391246 -0.07204914],-0.08042192916418717,0.40856410840203794
Exports,15,[-0.04668091 -0.0552289 ],-0.05384292041078967,0.0984523802117323
Exports,30,[-0.00957595 -0.02949143],0.018345196840201528,0.01595887065444135
Exports,60,[-0.10743821 -0.00065239],0.12128342986520912,0.06079997860727915
Factory Orders (MoM),5,[-0.20147688  0.17924348],-0.05626096398936182,0.37719216181938786
Factory Orders (MoM),15,[-0.18079382  0.22213853],0.03115278074175424,0.7364251264712782
Factory Orders (MoM),30,[-0.49834307  0.30403085],0.0413140179322155,0.5085578195678842
Factory Orders (MoM),60,[-0.47654623  0.13269622],0.12388942928255871,0.4196079305425314
Factory orders ex transportation (MoM),5,[0.0870784  0.12270645],-0.05626096398936185,0.09260006943672772
Factory orders ex transportation (MoM),15,[0.02745428 0.04767619],0.03115278074175422,0.020223586025294282
Factory orders ex transportation (MoM),30,[0.06387115 0.14342824],0.041314017932215445,0.020457047519439553
Factory orders ex transportation (MoM),60,[0.09625182 0.12639469],0.12388942928255865,0.030692656390358675
Fed Interest Rate Decision,5,[-0.05719765  0.        ],0.03715784874842485,0.059621675095062554
Fed Interest Rate Decision,15,[-0.05600119  0.        ],-0.12211284355163701,0.027167104920938656
Fed Interest Rate Decision,30,[-0.11325  0.     ],-0.22955573781826538,0.1295563608101561
Fed Interest Rate Decision,60,[-0.31401755  0.        ],0.1259588914794725,0.08984520245074223
Fed's Balance Sheet,5,[ 0.0120873  -0.01646909],0.008248710465832955,0.00994074575034154
Fed's Balance Sheet,15,[0.03647146 0.03449323],0.001995212398054159,0.037265250438004216
Fed's Balance Sheet,30,[0.02520503 0.00900725],0.028619340143524227,0.007464508658376445
Fed's Balance Sheet,60,[ 0.05672818 -0.05076589],0.051870176761083825,0.02848822966939668
Federal Budget Balance,5,[-0.01403517  0.00870925],-0.00266990373507999,0.023592604959599472
Federal Budget Balance,15,[-0.00284709 -0.11174659],0.0754466566719092,0.07997404508025141
Federal Budget Balance,30,[ 0.03973965 -0.06254875],0.021345872585735087,0.14466136828505716
Federal Budget Balance,60,[-0.02075443 -0.02195956],0.15088048682262262,0.009936781920461768
GDP,5,[ 0.00600934 -0.01051801],0.06121939622794392,0.0037747379511323675
GDP,15,[-0.09425046  0.01820986],-0.05928875061455666,0.2617580220406618
GDP,30,[-0.07445963  0.0608788 ],0.03688919899377395,0.08192048647083394
GDP,60,[-0.1325502   0.21082698],-0.03192520596430813,0.2332052415803244
GDP Price Index,5,[-0.00182442 -0.05687639],0.06121939622794392,0.049071808440245834
