Event,Time_Delta,"Coefficients(actual-pre, actual-forec",Intercept,R_squared
Existing Home Sales (MoM),30,[-0.58700379  0.54162885],0.11425912497445366,0.4736342818921013
Existing Home Sales (MoM),60,[-0.55368694  0.56496118],0.07458057175578557,0.22459230760305682
Export Price Index (MoM),5,[ 0.03684989 -0.08595194],0.08813802201854068,0.24460763061825597
Export Price Index (MoM),15,[ 0.07346961 -0.15868485],0.044241304513580104,0.11436585046066594
Export Price Index (MoM),30,[ 0.07809061 -0.20629129],0.0709198942181556,0.17011854955540673
Export Price Index (MoM),60,[-0.01932351 -0.01374274],0.08550250655470795,0.002805622130202412
Export Price Index (YoY),5,[0.00316632 0.01183286],0.08813802201854068,0.009730472849472593
Export Price Index (YoY),15,[-0.0535813   0.05932505],0.04424130451358012,0.016271272051640584
Export Price Index (YoY),30,[-0.09892517  0.08272905],0.07091989421815562,0.03630931039567398
Export Price Index (YoY),60,[-0.08362382  0.1317322 ],0.08550250655470795,0.03321925989653862
Exports,5,[-0.0057535   0.09613937],-0.08042192916418717,0.40856410840203816
Exports,15,[-0.00604434  0.07206112],-0.05384292041078967,0.0984523802117323
Exports,30,[-0.01408237  0.02762481],0.018345196840201528,0.01595887065444135
Exports,60,[0.07550898 0.0764316 ],0.12128342986520912,0.06079997860727915
Factory Orders (MoM),5,[-0.26920995 -0.01572139],-0.05626096398936183,0.3771921618193881
Factory Orders (MoM),15,[-0.2849162   0.02923513],0.031152780741754232,0.7364251264712782
Factory Orders (MoM),30,[-0.56736404 -0.13739949],0.041314017932215466,0.5085578195678843
Factory Orders (MoM),60,[-0.43079947 -0.24313867],0.12388942928255867,0.41960793054253154
Factory orders ex transportation (MoM),5,[-0.14834029  0.02519284],-0.05626096398936185,0.09260006943672772
Factory orders ex transportation (MoM),15,[-0.05312526  0.01429905],0.03115278074175422,0.020223586025294282
Factory orders ex transportation (MoM),30,[-0.14658281  0.05625536],0.04131401793221544,0.020457047519439553
Factory orders ex transportation (MoM),60,[-0.15743485  0.02131423],0.12388942928255867,0.030692656390358675
Fed Interest Rate Decision,5,[-0.05719765  0.        ],0.03715784874842485,0.059621675095062554
Fed Interest Rate Decision,15,[-0.05600119  0.        ],-0.12211284355163701,0.027167104920938656
Fed Interest Rate Decision,30,[-0.11325  0.     ],-0.22955573781826538,0.1295563608101561
Fed Interest Rate Decision,60,[-0.31401755  0.        ],0.1259588914794725,0.08984520245074223
Fed's Balance Sheet,5,[-0.00309839  0.02019241],0.008248710465832967,0.00994074575034154
Fed's Balance Sheet,15,[0.05017961 0.00139882],0.0019952123980541614,0.037265250438004216
Fed's Balance Sheet,30,[0.02419174 0.01145356],0.028619340143524234,0.007464508658376445
Fed's Balance Sheet,60,[0.00421597 0.07600979],0.051870176761083873,0.028488229669396792
Federal Budget Balance,5,[0.01608274 0.00376599],-0.0026699037350799903,0.023592604959599472
Federal Budget Balance,15,[-0.07700358  0.08102997],0.0754466566719092,0.07997404508025141
Federal Budget Balance,30,[-0.07232882  0.01612847],0.021345872585735087,0.14466136828505716
Federal Budget Balance,60,[-0.00085216  0.03020335],0.15088048682262262,0.00993678192046199
GDP,5,[ 0.00318811 -0.0116866 ],0.06121939622794392,0.0037747379511321455
GDP,15,[0.05376883 0.07952146],-0.05928875061455666,0.2617580220406618
GDP,30,[0.00960309 0.09569873],0.03688919899377395,0.08192048647083383
GDP,60,[-0.05535005  0.24280433],-0.03192520596430812,0.2332052415803244
GDP Price Index,5,[-0.04150774  0.03892762],0.06121939622794392,0.049071808440245834
GDP Price Index,15,[-0.02635466  0.03683115],-0.05928875061455666,0.029052322466532
GDP Price Index,30,[-0.10455389  0.0742561 ],0.03688919899377396,0.08046184745883656
GDP Price Index,60,[-0.29589886  0.15541736],-0.03192520596430812,0.280324512573384
GDP Sales,5,[-0.00858145 -0.00119708],0.06121939622794392,0.0019219037322553145
GDP Sales,15,[-0.01176371 -0.03726292],-0.05928875061455666,0.031662156626028115
